dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,constraint_type,table_schema,table_name,column_name
postgresql,ecommerce_cloud,walmart,cust1,unique_id,1,integer,,PRIMARY KEY,,,
postgresql,ecommerce_cloud,walmart,cust2,unique_id,1,integer,,PRIMARY KEY,,,
postgresql,ecommerce_cloud,walmart,products,product_id,1,integer,,PRIMARY KEY,,,
postgresql,ecommerce_cloud,walmart,customers_lookup,customer_id,1,integer,,PRIMARY KEY,,,
postgresql,ecommerce_cloud,walmart,customers_lookup,cust1_id,2,integer,,UNIQUE,,,
postgresql,ecommerce_cloud,walmart,customers_lookup,cust2_id,3,integer,,UNIQUE,,,
postgresql,ecommerce_cloud,walmart,customers_lookup,cust1_id,2,integer,,FOREIGN KEY,walmart,cust1,unique_id
postgresql,ecommerce_cloud,walmart,customers_lookup,cust2_id,3,integer,,FOREIGN KEY,walmart,cust2,unique_id
postgresql,ecommerce_cloud,walmart,transactions,transaction_id,1,integer,,PRIMARY KEY,,,
postgresql,ecommerce_cloud,walmart,transactions,unique_id,2,integer,,FOREIGN KEY,walmart,customers_lookup,customer_id
postgresql,ecommerce_cloud,walmart,transactions,product_id,3,integer,,FOREIGN KEY,walmart,products,product_id
postgresql,ecommerce_cloud,dev_walmart,dim_date,weekday_name,6,text,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_date,real_date,1,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,walmart,products,holding_cost_per_unit,7,double precision,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust1_ext,segment_id,2,integer,,,,,
postgresql,ecommerce_cloud,walmart,products,created_at,10,timestamp without time zone,,,,,
postgresql,ecommerce_cloud,walmart,cust2,city,3,character varying,50,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_clv,total_orders,3,bigint,,,,,
postgresql,ecommerce_cloud,dev_walmart,fct_order,customer_id,2,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_products,stock,4,integer,,,,,
postgresql,ecommerce_cloud,dev_walmart_analytics,kpi_avg_cat_orders,avg_order_value,4,double precision,,,,,
postgresql,ecommerce_cloud,walmart,transactions,run_id,8,character varying,20,,,,
postgresql,ecommerce_cloud,dev_walmart,dim_cust2_ext,last_purchase_date,9,timestamp without time zone,,,,,
